Filename, Package, Minor, Major, Total, Ownership, #Bugs
SegmentCommitInfo.java,org.apache.lucene.index,0,3,3,0.50,1
TestRussianLightStemFilter.java,org.apache.lucene.analysis.ru,0,2,2,0.80,0
TestQueryTemplateManager.java,org.apache.lucene.queryparser.xml,0,3,3,0.33,0
TestByteSlices.java,org.apache.lucene.index,0,0,0,0.00,0
NormalizationH3.java,org.apache.lucene.search.similarities,0,0,0,0.00,0
LuceneQueryOptimizer.java,org.apache.solr.search,0,0,0,0.00,0
Transition.java,org.apache.lucene.util.automaton,0,1,1,1.00,0
CloudMLTQParser.java,org.apache.solr.search.mlt,0,1,1,1.00,2
RunExecutableListener.java,org.apache.solr.core,0,1,1,1.00,0
DocumentBuilderTest.java,org.apache.solr.update,0,4,4,0.50,2
TestSoraniStemFilter.java,org.apache.lucene.analysis.ckb,0,2,2,0.83,0
DelegatingAnalyzerWrapper.java,org.apache.lucene.analysis,0,1,1,1.00,0
TestCJKWidthFilter.java,org.apache.lucene.analysis.cjk,0,1,1,1.00,0
ReverseStringFunction.java,org.apache.solr.analytics.util.valuesource,0,1,1,1.00,0
BinURLDataSource.java,org.apache.solr.handler.dataimport,0,0,0,0.00,0
TestRTGBase.java,org.apache.solr.search,0,1,1,1.00,1
CollationField.java,org.apache.solr.schema,0,4,4,0.38,0
SOLR749Test.java,org.apache.solr.core,0,2,2,0.50,0
ScoringRewrite.java,org.apache.lucene.search,0,1,1,1.00,0
FSTOrdPostingsFormat.java,org.apache.lucene.codecs.memory,0,1,1,1.00,0
BaseManagedTokenFilterFactory.java,org.apache.solr.rest.schema.analysis,0,1,1,1.00,0
FieldInvertState.java,org.apache.lucene.index,0,2,2,0.75,0
FilterSeekableByteChannel.java,org.apache.lucene.mockfile,0,1,1,1.00,0
TestPivotHelperCode.java,org.apache.solr.handler.component,0,1,1,1.00,0
FieldTypePluginLoader.java,org.apache.solr.schema,0,3,3,0.43,1
CharFilterFactory.java,org.apache.lucene.analysis.util,0,1,1,1.00,0
BooleanTopLevelScorers.java,org.apache.lucene.search,0,1,1,1.00,0
TestTruncateTokenFilter.java,org.apache.lucene.analysis.miscellaneous,0,1,1,1.00,0
PayloadEncoder.java,org.apache.lucene.analysis.payloads,0,0,0,0.00,0
DocumentsWriterFlushQueue.java,org.apache.lucene.index,0,2,2,0.67,0
CachedFilterBuilder.java,org.apache.lucene.queryparser.xml.builders,0,1,1,1.00,0
Sorter.java,org.apache.lucene.index,0,2,2,0.50,0
EnwikiContentSourceTest.java,org.apache.lucene.benchmark.byTask.feeds,0,1,1,1.00,0
SearchTravRetTask.java,org.apache.lucene.benchmark.byTask.tasks,0,0,0,0.00,0
EliasFanoDocIdSet.java,org.apache.lucene.util.packed,0,1,1,1.00,0
SocketProxy.java,org.apache.solr.cloud,0,1,1,1.00,0
TestNumericQueryParser.java,org.apache.lucene.queryparser.flexible.standard,0,4,4,0.40,0
